AIN,TOC Dummy,DISC Dummy,cp_filing,cp_complet,cp_approva,permit_num,ladbs_subm,ladbs_perm,ladbs_appr
2317017002,1,1,3/16/2018,4/19/2018,7/23/2018,17010-20000-02985,2017-08-04,2019-09-19,776
2338028017,1,1,2/12/2018,5/15/2018,7/30/2018,16010-20000-06202,2016-12-27,2018-12-18,721
2353013004,1,1,3/8/2018,11/28/2018,2/11/2019,16010-20000-06204,2016-12-27,2019-08-01,947
4006020010,1,1,2/26/2019,5/1/2019,7/12/2019,19010-20000-02725,6/25/2019,3/10/2020,259
4103022009,1,1,2/12/2019,4/23/2019,5/15/2019,18010-20000-04140,8/23/2018,2/21/2020,547
4108019029,1,1,5/1/2017,5/23/2017,4/13/2018,16010-20000-06383,12/29/2016,12/19/2019,"1,085"
4208007039,1,1,5/24/2018,11/7/2018,12/17/2018,18010-10000-02070,5/7/2018,1/24/2020,627
4259020900,1,1,1/30/2018,2/26/2018,6/21/2018,18010-10000-05182,10/25/2018,11/1/2019,372
4260037013,1,1,6/13/2018,7/13/2018,12/19/2018,17010-10000-04353,11/7/2017,1/29/2020,813
4261020002,1,1,12/29/2017,1/19/2018,4/9/2018,18010-30000-02317,5/21/2018,2/21/2019,276
4313016027,1,1,12/21/2017,1/18/2018,7/10/2018,16010-10000-05912,12/23/2016,4/4/2019,832
4314003037,1,1,12/5/2017,1/5/2018,2/8/2018,17010-10000-04508,11/20/2017,2/13/2019,450
4314004009,1,1,11/14/2018,1/31/2019,5/2/2019,18010-30000-04987,10/15/2018,10/8/2019,358
4314018017,1,1,8/14/2018,9/12/2018,1/15/2019,18010-20000-05366,11/2/2018,7/31/2019,271
4321003035,1,1,11/2/2017,12/1/2017,8/28/2017,17010-10000-00780,2/28/2017,11/15/2018,625
4334015037,1,1,11/15/2017,1/3/2018,3/1/2018,17010-10000-04994,12/20/2017,7/12/2018,204
5016014002,1,1,9/5/2018,11/28/2018,12/5/2018,18010-10000-00801,5/8/2018,11/6/2019,547
5020017007,1,1,10/11/2019,,5/6/2019,19010-10000-03121,7/23/2019,2/10/2020,202
5021028002,1,1,11/13/2019,,11/18/2019,19010-10000-03849,8/29/2019,2/18/2020,173
5024017008,1,1,3/13/2018,4/15/2018,9/20/2018,18010-10000-02786,6/11/2018,3/7/2019,269
5070017001,1,1,8/30/2016,3/29/2017,10/30/2017,16010-10000-05000,11/16/2016,6/14/2019,940
5072017012,1,1,7/1/2019,,12/13/2019,19010-20000-01119,3/15/2019,3/13/2020,364
5076006007,1,1,3/1/2018,7/19/2018,9/25/2018,17010-10000-00049,1/6/2017,3/11/2020,"1,160"
5077016027,1,1,10/12/2018,12/18/2018,2/27/2019,18010-10000-05557,11/16/2018,9/18/2019,306
5077029020,1,1,1/18/2018,3/16/2018,7/11/2018,18010-10000-02075,5/9/2018,7/5/2019,422
5078004019,1,1,2/25/2019,9/11/2019,11/1/2019,19010-10000-02515,7/8/2019,2/20/2020,227
5078005018,1,1,9/19/2017,6/5/2018,11/2/2018,18010-10000-03412,7/3/2018,3/28/2019,268
5078007024,1,1,11/13/2015,6/21/2016,8/5/2016,17010-10000-03028,8/8/2017,2/5/2020,911
5080021013,1,1,12/28/2017,1/29/2018,8/23/2018,16010-10000-01148,3/23/2016,9/25/2019,"1,281"
5083031002,1,1,4/10/2018,4/26/2018,8/15/2018,18010-30000-00179,1/17/2018,10/4/2019,625
5084021017,1,1,9/12/2017,10/13/2017,4/12/2018,17010-10000-04195,10/30/2017,10/3/2019,703
5086004010,1,1,8/10/2018,12/17/2018,1/29/2019,18010-30000-02518,5/29/2018,8/29/2019,457
5093016024,1,1,8/24/2018,11/2/2018,3/20/2019,17010-10000-04601,11/21/2017,8/13/2019,630
5094017002,1,1,5/22/2018,7/17/2018,9/12/2018,16010-10000-04001,9/8/2016,8/14/2019,"1,070"
5094017005,1,1,10/30/2017,11/16/2017,4/24/2018,18010-10000-00378,2/9/2018,12/17/2019,676
5094017017,1,1,10/27/2017,11/16/2017,4/24/2018,18010-10000-00377,2/9/2018,12/31/2019,690
5094024015,1,1,5/24/2018,6/22/2018,10/17/2018,18010-10000-01046,3/8/2018,5/3/2019,421
5124034005,1,1,5/17/2019,6/20/2019,6/28/2019,19010-10000-03086,7/19/2019,3/13/2020,238
5156003004,1,1,6/7/2018,7/22/2019,8/7/2019,18010-10000-02884,6/13/2018,12/4/2019,539
5156016002,1,1,11/8/2018,1/11/2019,2/14/2019,18010-20000-05663,11/27/2018,9/26/2019,303
5157020021,1,1,11/7/2017,12/8/2017,3/2/2018,17010-20000-05064,12/22/2017,12/19/2018,362
5160011007,1,1,5/8/2018,12/17/2018,12/26/2018,18010-10000-01729,4/24/2018,2/8/2019,290
5174024011,1,1,5/4/2018,6/6/2018,9/6/2018,18010-30000-02274,5/17/2018,10/25/2019,526
5401013010,1,1,2/28/2017,10/2/2017,11/20/2018,16010-10000-04182,9/16/2016,1/6/2020,"1,207"
5404004013,1,1,12/13/2018,2/20/2019,5/21/2019,18010-20000-03353,6/29/2018,8/13/2019,410
5447014032,1,1,10/9/2018,5/8/2019,8/12/2019,18010-10000-05982,12/12/2018,3/10/2020,454
