,AIN,TOC Status,confirmTOC,notes,include,Address,cp_casenum,full_approvetime,minus_holddays,zc_floorarea,total_units,aff_units,mr_units,pct_aff,Council District,TOC Dist,ProximityCBD,ZIPCODE,LV 2012,LV2020,LV 2015,SPA DUMMY,REDEV DUMMY,GEOID,MedianHouseholdIncome16,PerOO16,PerSingFam16,Median HomeValue16,MedianGrossRent16,CBDdist
0,2138003020,Non-TOC BR,,,1,7043 N JORDAN AVE,,363,363,42095,33,0,33,0,3,-3360.469507,0.009952085,91303,581700,2177800,1401300,0,1,6037134520,40016,16.99003671,15.93843098,257300,1094,22.57448405
1,2138022010,Non-TOC Disc,,,1,21121 W VANOWEN ST,DIR-2016-4563-SPP,749,749,97611.8,101,0,101,0,3,715.6466371,0.004137242,91335,936000,2616100,1835200,0,0,6037132501,50363,44.09377818,59.53806672,388900,1190,19.62201292
2,2148027005,Non-TOC Disc,,,1,20944 W VANOWEN ST,DIR-2016-3485-AC,540,540,46360,38,0,38,0,3,715.6466371,0.004137242,91335,936000,2616100,1835200,0,0,6037132501,50363,44.09377818,59.53806672,388900,1190,19.62201292
3,2206011022,Non-TOC BR,,,1,15755 W SATICOY ST,,497,497,33532,24,0,24,0,6,2386.448902,0.008744046,91406,1050800,2827900,1981200,0,0,6037127300,44924,30.16336056,33.98876404,394700,1063,16.73446491
4,2210031012,Non-TOC Disc,,,1,7639 N VAN NUYS BLVD,DIR-2016-2920-DB,659,659,31359,36,4,32,0.111111111,6,-2195.717336,0.011552799,91405,973700,2909200,1905400,0,0,6037127210,42571,28.32278481,26.42001042,346400,1124,15.80038863
5,2220005003,Non-TOC BR,,,1,14954 W SHERMAN WAY,,546,546,24840,21,0,21,0,3,1254.473987,0.009302189,91335,936000,2616100,1835200,0,1,6037132300,40242,32.45901639,39.99197754,367300,1083,18.71680353
6,2221021005,Non-TOC BR,,,1,14912 W WYANDOTTE ST,,607,607,13055.75,10,1,9,0.1,2,-1959.69291,0.005597018,91405,973700,2909200,1905400,0,0,6037127104,40357,36.67218543,33.79416283,399600,1213,15.09014141
7,2224004006,Non-TOC Disc,,,1,16030 W SHERMAN WAY,DIR-2017-2480-DB,999,939,58997,54,7,47,0.12962963,3,1254.473987,0.009302189,91335,936000,2616100,1835200,0,1,6037132300,40242,32.45901639,39.99197754,367300,1083,18.71680353
8,2237001017,Non-TOC Disc,,,1,6600 N VAN NUYS BLVD,DIR-2016-2062-DB-SPR-CDO,1084,733,59770,54,6,48,0.111111111,6,-2978.472814,0.003850361,91405,973700,2909200,1905400,0,0,6037128102,34583,20.6122449,30.25210084,378800,1163,14.89348817
9,2239006030,Non-TOC Disc,,,1,13724 W VICTORY BLVD,CPC-2016-2612-VZC-SPR-DB,1113,1051,61245,67,4,63,0.059701493,2,966.9221711,0.024047978,91401,1594700,3676400,2502700,0,0,6037128220,45168,33.30442324,43.12913907,551700,1122,14.00228848
10,2239023003,Non-TOC BR,,,1,6015 N WOODMAN AVE,,669,669,12240,14,0,14,0,2,2575.739974,0.00712075,91401,1594700,3676400,2502700,0,0,6037128601,40100,19.65116279,26.13180516,475000,1133,13.6625579
11,2240012014,Non-TOC Disc,,,1,6363 N TYRONE AVE,DIR-2018-63-DB-CDO,560,407,39635,30,6,24,0.2,6,-1377.639058,0.012500265,91401,1594700,3676400,2502700,0,0,6037128210,28087,3.210702341,11.11821086,436400,1160,14.50699159
12,2240013006,Non-TOC BR,,,1,14222 W VICTORY BLVD,,764,764,20011.4,18,3,15,0.166666667,6,-948.3799504,0.012500265,91401,1594700,3676400,2502700,0,0,6037128210,28087,3.210702341,11.11821086,436400,1160,14.46623949
