GEOID,MedianHouseholdIncome16,PerOO16,Housing Units:,Housing Units: 1 Unit,PerSingFam16,Median HomeValue16,MedianGrossRent16
6037101110,49294,47.18482252,1720,1175,68.31395349,402500,1391
6037101122,86081,81.48148148,1380,1380,100,552100,1924
6037101210,36701,13.10763889,2356,427,18.12393888,328600,1141
6037101220,39634,35,1288,689,53.49378882,369700,1123
6037101300,80708,85.07871321,1550,1491,96.19354839,504400,2131
6037101400,65029,66.45202833,1599,1319,82.48905566,537200,1190
6037102103,73819,67.64275256,718,570,79.38718663,503300,2095
6037102104,72039,78.91424076,1346,1014,75.33432392,450000,2552
6037102105,48571,45.37366548,579,362,62.52158895,403800,1328
6037102107,62264,76.16747182,1338,1132,84.6038864,531800,1163
6037103101,67500,77.65726681,950,950,100,440600,1484
6037103102,68048,73.556231,1714,1569,91.54025671,375100,1509
6037103200,48670,60.26339691,2303,1667,72.38384716,440800,954
6037103300,78281,82.53164557,1395,1395,100,649900,2136
6037103400,62423,61.54471545,2541,1992,78.39433294,417500,1452
6037104103,75938,86.39705882,859,844,98.25378347,372400,1392
6037104105,37846,51.51710781,1575,671,42.6031746,243000,766
6037104108,42435,45.7977208,1438,673,46.80111266,258100,1298
6037104124,80813,83.39859045,1308,1138,87.0030581,348200,1490
6037104201,42888,67.69570011,907,899,99.11797133,337200,1935
6037104203,45788,40.0194742,1088,753,69.20955882,347900,1239
6037104204,47721,66.93877551,753,410,54.44887118,295800,1078
6037104310,55865,67.92009401,907,882,97.24366042,333100,1514
6037104320,44583,41.31305044,1288,1020,79.19254658,279800,1000
6037104401,57321,58.41446453,741,738,99.5951417,336900,1675
6037104403,49048,69.24290221,650,645,99.23076923,303400,1518
6037104404,51771,47.08737864,642,506,78.81619938,332200,1356
6037104500,47500,64.76510067,656,621,94.66463415,349300,1304
6037104610,52727,59.69101124,712,673,94.52247191,280500,1423
6037104620,55556,61.09550562,742,727,97.97843666,305100,1255
6037104701,27394,24.89035088,930,419,45.05376344,312500,894
6037104703,39286,36.74911661,602,240,39.86710963,255700,1350
6037104704,51003,59.07859079,1172,499,42.57679181,184400,1362
6037104810,66054,67.54643206,1038,1032,99.42196532,330000,1607
6037104821,51382,53.5286285,762,502,65.87926509,345700,1352
6037104822,48935,37.72357724,642,339,52.80373832,365100,1349
6037106010,76576,75.18636848,984,880,89.43089431,431100,1615
6037106020,71250,84.07821229,1471,1471,100,412200,1508
6037106111,79702,89.48545861,1404,1194,85.04273504,370800,2285
6037106112,74256,83.81270903,1547,1540,99.54751131,399800,1850
6037106113,74688,85.72996707,961,898,93.44432882,388500,1500
6037106114,51190,41.19897959,1659,774,46.65461121,277400,1239
6037106403,61023,84.65608466,850,850,100,344000,1875
6037106405,40813,39.89681857,1189,850,71.48864592,281900,1263
6037106406,76131,74.87244898,1601,1151,71.89256715,321100,1733
6037106407,33073,31.47268409,939,351,37.38019169,203800,1302
6037106408,41806,18.41269841,1034,245,23.69439072,250000,1213
6037106510,92857,68.41059603,1638,1127,68.8034188,441900,1592
6037106520,61599,67.81179985,1396,1118,80.08595989,323300,1818
6037106603,102632,85.83162218,989,989,100,621900,2731
6037106604,50150,42.92972058,1237,885,71.54405821,425200,1339
6037106641,101758,89.71962617,803,803,100,604700,2481
6037106642,96970,89.50914341,1115,1115,100,540800,2981
6037106643,138750,92.00896191,1368,1368,100,804600,1967
6037106645,109276,89.17975567,1217,1208,99.26047658,634800,2566
6037106646,91394,83.35035751,989,980,99.08998989,473200,2250
6037106648,46786,45.8,1049,511,48.71306006,348200,975
6037106649,80492,81.47100424,737,737,100,392300,1766
6037107010,51458,75.96153846,746,737,98.79356568,342000,1604
6037107020,71790,71.63346614,1321,1200,90.84027252,351100,1618
6037108101,133988,86.39896373,810,810,100,651400,3501
6037108102,93438,80.74433657,1268,1147,90.45741325,567200,2361
6037108103,143000,87.52535497,1084,1084,100,783400,2284
6037108104,119875,91.42367067,595,588,98.82352941,641000,3196
6037108201,113553,73.70600414,2003,1915,95.60659011,644600,2835
6037108202,104182,59.61206897,2464,1740,70.61688312,738100,1913
6037109100,70865,77.51396648,756,526,69.57671958,338500,1365
6037109200,86964,76.18545838,1046,846,80.87954111,396600,1913
6037109300,77750,76.08695652,920,920,100,394100,2371
6037109400,51475,79.84718243,1109,853,76.91614067,349900,1581
6037109500,51380,59.8820059,1092,823,75.36630037,322500,1423
6037109601,76484,75.05938242,1339,1228,91.71023152,372400,1952
6037109603,52301,58.73902634,1348,840,62.31454006,357700,1142
6037109604,70217,74.66367713,901,786,87.236404,365500,1409
6037109700,86364,87.27272727,1355,1147,84.64944649,437100,2107
6037109800,69079,86.22589532,1461,1361,93.15537303,420000,1665
6037111100,80239,85.5799373,969,924,95.35603715,424300,1900
6037111201,78430,92.56120527,1119,1111,99.28507596,486900,2076
6037111202,63688,65.26912181,1947,1652,84.84848485,466700,1581
6037111204,126406,90.99004715,1989,1989,100,674400,3229
6037111205,70490,48.55182927,1332,893,67.04204204,462700,2181
6037111206,102083,83.8538206,1564,1511,96.6112532,550900,1344
6037111301,58682,30.64635958,2857,1111,38.88694435,523400,1405
6037111302,69395,52.0732364,1907,999,52.38594651,556300,1429
6037111400,51094,33.2059743,2879,1329,46.16186176,462200,1173
6037113101,107538,72.71922055,1167,1099,94.1730934,581000,2790
6037113102,124375,93.40101523,985,985,100,744700,3315
6037113211,91210,84.41802253,1645,1321,80.30395137,415300,2244
6037113212,79315,62.12804328,1109,827,74.5716862,450000,1767
6037113213,80861,63.22815534,1695,1151,67.90560472,383300,1475
6037113231,90000,83.57142857,840,765,91.07142857,619700,1455
6037113232,101318,89.96363636,1401,1370,97.78729479,566900,1932
6037113233,41155,21.41982864,2598,483,18.59122402,351200,1187
6037113234,47262,48.34217507,1642,439,26.73568819,234900,1180
6037113235,71346,62.5,779,456,58.53658537,397000,1695
6037113237,83170,59.80595981,1537,823,53.54586858,642800,1674
6037113301,69286,68.15144766,1049,680,64.82364156,698400,2198
6037113303,83929,92.73381295,1395,1044,74.83870968,446300,1063
6037113321,56845,28.85425442,2499,624,24.969988,296600,1353
6037113322,87675,88.96746818,1414,1330,94.05940594,568500,1854
6037113401,72083,71.11609647,1820,1518,83.40659341,423400,1346
6037113421,57159,20.45801527,2095,460,21.95704057,408900,1423
6037113422,65147,54.48960302,2234,1282,57.38585497,436600,1173
6037115101,117198,91.60628019,1733,1693,97.69186382,724300,1888
6037115103,41136,0,63,0,0,,1731
6037115104,41080,20.66950053,2052,436,21.24756335,531700,1395
6037115201,49917,29.32142857,2872,743,25.87047354,500400,1423
6037115202,49688,39.71816284,1962,1096,55.86136595,431500,1244
6037115301,73241,60.12121212,1743,949,54.44635686,517500,1814
6037115302,43958,30.6122449,1061,428,40.33930254,392700,1289
6037115401,60665,34.70557582,2081,780,37.48197982,617000,1232
6037115403,41383,29.44664032,1048,444,42.36641221,475900,1150
6037115404,42379,45.04283966,886,662,74.71783296,429500,1461
6037117101,76413,69.72343523,1393,862,61.88083274,336900,1210
6037117102,68050,71.21401752,826,648,78.4503632,377800,1577
6037117201,45179,27.23292469,1243,426,34.27192277,444600,1107
6037117202,82500,84.05405405,768,734,95.57291667,452300,2594
6037117301,91738,87.00243704,1257,1239,98.56801909,436500,2631
6037117302,81389,75.47169811,1775,1518,85.52112676,485200,1760
