fid,AIN,SitusAddre,GEOID10
1,6048004030,9543 S COMPTON AVE,6037242300
2,6048022066,9220 S COMPTON AVE,6037242300
3,6048004025,9515 S COMPTON AVE,6037242300
4,6046019930,2062 E 99TH PL,6037242100
5,6022022011,410 E FLORENCE AVE,6037239501
6,6006018001,6401 S AVALON BLVD,6037239330
7,6011008027,325 E FLORENCE AVE,6037239330
8,6012010034,7025 S MAIN ST,6037239310
9,6012009902,6901 S MAIN ST,6037239310
10,6031019013,7823 S MAIN ST,6037239602
11,5522019003,4749 W ELMWOOD AVE,6037192420
12,5518002012,161 S NORMANDIE AVE,6037211420
13,5522003006,667 N WILTON PL,6037192410
14,5523022012,647 N BEACHWOOD DR,6037192410
15,5521004020,641 N HOBART BLVD,6037192510
16,5522020011,4807 W ELMWOOD AVE,6037192420
17,5522014012,521 N GRAMERCY PL,6037192420
18,5521011002,552 N HOBART BLVD,6037192510
19,5522028014,4847 W BEVERLY BLVD,6037192410
20,5522015010,5153 W MAPLEWOOD AVE,6037192410
21,5501004006,235 N HOOVER ST,6037211121
22,5522016017,5122 W MAPLEWOOD AVE,6037192410
23,5521003051,660 N OXFORD AVE,6037192510
24,5156003004,252 N HOOVER ST,6037208610
25,5520024009,338 N MARIPOSA AVE,6037192620
26,5094017005,832 S MARIPOSA AVE,6037212305
27,5094017017,839 S FEDORA ST,6037212305
28,5094017002,846 S MARIPOSA AVE,6037212305
29,5094007002,689 S CATALINA ST,6037212304
30,5094009011,707 S BERENDO ST,6037212303
31,5094006004,744 S MARIPOSA AVE,6037212304
32,5093025005,750 S KINGSLEY DR,6037212410
33,5093022011,800 S HARVARD BLVD,6037212420
34,5077015012,2847 W LEEWARD AVE,6037212204
35,5092028004,723 S ST ANDREWS PL,6037212610
36,5078003003,955 S FEDORA ST,6037213310
37,4242033001,1503 E VENICE BLVD,6037221110
38,5076018023,1255 S ELDEN AVE,6037213402
39,5077029020,2880 W JAMES M. WOOD BLVD,6037212202
40,5093016024,919 S HARVARD BLVD,6037212501
41,5094024015,924 S CATALINA ST,6037212306
42,5078007024,954 S CATALINA ST,6037213320
43,5078005018,966 S KENMORE AVE,6037213310
44,5078004019,970 S FEDORA ST,6037213310
45,5094026002,905 S VERMONT AVE,6037212306
46,5094023039,900 S KENMORE AVE,6037212306
47,5094024006,917 S BERENDO ST,6037212306
48,5094025017,928 S BERENDO ST,6037212306
49,5080016008,944 S SERRANO AVE,6037213201
50,5076006007,971 S HOOVER ST,6037213401
51,5076006025,2600 W SAN MARINO ST,6037213401
52,5080012006,3057 W PICO BLVD,6037213202
53,5075029012,1950 S NORMANDIE AVE,6037221602
54,5054028018,2600 S CATALINA ST,6037221810
55,5123020010,505 W 31ST ST,6037224700
56,5124034005,1928 S ESTRELLA AVE,6037224420
57,5040018006,1196 W 35TH ST,6037222600
58,5024017008,4252 S CRENSHAW BLVD,6037234300
59,5032004901,4018 S BUCKINGHAM ROAD,6037236100
60,5503018008,4170 W 5TH ST,6037234000
61,5108009027,4800 S AVALON BLVD,6037229200
62,5114014006,1044 E JEFFERSON BLVD,6037228310
63,5407007001,708 S NEW DEPOT ST,6037207103
64,5407007007,849 N BUNKER HILL AVE,6037207103
65,5161016029,118 S ASTRONAUT ELLISON S ONIZUKA ST,6037206200
66,5160025001,1100 W TEMPLE ST,6037208000
67,7455012022,336 W 7TH ST,6037207301
68,5148024026,401 E 7TH ST,6037207710
69,5148025024,519 E 7TH ST,6037207710
70,5134025015,215 W 14TH ST,6037224010
71,5049014009,2602 S ORANGE DR,6037219800
72,5043002016,5335 W ADAMS BLVD,6037219901
73,5046015030,3500 S CHESAPEAKE AVE,6037219500
74,5046015026,3524 S CHESAPEAKE AVE,6037219500
75,5142023013,1532 W CAMBRIA ST,6037209300
76,5153024027,459 S HARTFORD AVE,6037209103
77,5080021013,3050 W 11TH ST,6037219300
78,5044011026,2927 W EXPOSITION PL,6037234200
79,5077016027,2968 W 7TH ST,6037219010
80,5072017012,3617 W VENICE BLVD,6037218110
81,5070017001,5050 W PICO BLVD,6037217200
82,5069019026,5550 W PICO BLVD,6037216900
83,5073009012,1540 S ST ANDREWS PL,6037221303
84,5083031002,1251 S WEST BLVD,6037212800
85,5084021017,1180 S LA BREA AVE,6037216100
86,5073018902,1856 S WILTON PL,6037221302
87,5085015032,1233 S DUNSMUIR AVE,6037217100
88,5086015030,5801 W PICO BLVD,6037216900
89,5086004010,1319 S ORANGE GROVE AVE,6037216900
90,5086004008,1323 S ORANGE GROVE AVE,6037216900
91,5086026017,1127 S SPAULDING AVE,6037216900
92,5092023003,925 S ST ANDREWS PL,6037212620
93,5503023009,3920 W 5TH ST,6037211802
94,5503020026,510 S OXFORD AVE,6037211802
95,5504019023,527 S WILTON PL,6037211701
96,5147029048,660 S STANFORD AVE,6037206300
97,4324007017,1361 S KELTON AVE,6037265510
98,4325025***,1644 S MALCOLM AVE,6037265520
99,4325023018,1751 S MALCOLM AVE,6037265520
100,4363005019,10923 W STRATHMORE DR,6037265304
101,4321003035,10608 W SANTA MONICA BLVD,6037267100
102,4321008025,1946 S OVERLAND AVE,6037267100
103,4321008018,1906 S OVERLAND AVE,6037267100
104,4259020900,11998 W MISSOURI AVE,6037267600
105,4261020002,11272 W NEBRASKA AVE,6037267700
106,4323006027,1827 S MIDVALE AVE,6037267200
107,4323013044,1835 S GREENFIELD AVE,6037267200
108,4261019006,1775 S BELOIT AVE,6037267300
109,4263011009,1265 S BARRY AVE,6037267403
110,4263033056,11852 W SANTA MONICA BLVD,6037267501
111,4263023020,1301 S WESTGATE AVE,6037267404
112,4267034020,12431 W ROCHESTER AVE,6037267402
113,4267036009,1223 S WELLESLEY AVE,6037267402
114,4263031016,1439 S ARMACOST AVE,6037267402
115,4263020011,1450 S BARRINGTON AVE,6037267403
116,4263034029,1532 S BROCKTON AVE,6037267501
117,4262006030,1500 S GRANVILLE AVE,6037267501
118,5157020021,226 N LAKE ST,6037208501
119,5160011007,1363 W COLTON ST,6037208000
120,5404008010,706 N ALVARADO ST,6037195720
121,5160019014,1250 W COURT ST,6037208000
122,5153010011,264 S UNION AVE,6037208301
123,5156016002,2812 W TEMPLE ST,6037208610
124,5160009004,330 N PATTON ST,6037208000
125,5402008025,2828 W LONDON ST,6037195802
126,5156016017,2829 W HYANS ST,6037208610
127,5160009001,340 N PATTON ST,6037208000
128,5419009021,1605 W GRAFTON ST,6037197420
129,5423005003,1750 N GLENDALE BLVD,6037197420
130,5406014035,1301 W SUNSET BLVD,6037197700
131,5401013010,505 N SILVER LAKE BLVD,6037195802
132,5160013039,1349 W 1ST ST,6037208000
133,5404018010,1111 N ECHO PARK AVE,6037197500
134,5404004013,916 N ALVARADO ST,6037195720
135,5420022023,1901 N ECHO PARK AVE,6037197410
136,5544019014,1525 N HOBART BLVD,6037190520
137,5542003016,4531 W HOLLYWOOD BLVD,6037195300
138,5543009021,4850 W HOLLYWOOD BLVD,6037191201
139,5543008007,4900 W HOLLYWOOD BLVD,6037191201
140,5434017005,3160 W RIVERSIDE DR,6037188201
141,5547018005,1530 N CASSIL PL,6037190700
142,5545015042,1432 N TAMARIND AVE,6037190902
143,5586035040,5750 W HOLLYWOOD BLVD,6037190510
144,5546016002,6390 W DE LONGPRE AVE,6037190802
145,2424002005,4400 N CAHUENGA BLVD,6037190201
146,5547009024,1718 N LAS PALMAS AVE,6037190202
147,5546025003,6240 W SUNSET BLVD,6037190801
148,5521004001,4864 W MELROSE AVE,6037192510
149,5537024004,5068 W ROMAINE ST,6037191620
150,5521007036,4660 W MELROSE AVE,6037192520
151,5521006039,4760 W MELROSE AVE,6037192520
152,5537002027,5460 W FOUNTAIN AVE,6037191120
153,5535021003,945 N OXFORD AVE,6037191610
154,5537003004,5342 W FOUNTAIN AVE,6037191120
155,5540011009,1223 N EDGEMONT ST,6037191204
156,5540009010,1111 N KENMORE AVE,6037191204
157,5447014032,2020 N BARRANCA ST,6037199000
158,5214001002,4208 E HUNTINGTON DR,6037199110
159,5202001011,2201 E TROJAN WAY,6037203300
160,5177021003,2450 E HOUSTON ST,6037203710
161,5180002013,2423 E 1ST ST,6037204200
162,5180008011,325 N FICKETT ST,6037204200
163,5174024011,1612 E PLEASANT AVE,6037206032
164,4314009030,3632 S KEYSTONE AVE,6037269903
165,4314010042,3630 S OVERLAND AVE,6037269903
166,4314003037,3737 S MOTOR AVE,6037269903
167,4314018017,3408 S KEYSTONE AVE,6037269904
168,4313016027,3745 S CARDIFF AVE,6037270100
169,4314004009,3766 S MOTOR AVE,6037269905
170,4314022036,3308 S MENTONE AVE,6037269904
171,4314007017,3638 S MOTOR AVE,6037269906
172,4313003029,3672 S JASMINE AVE,6037269906
173,4313008025,3618 S DUNN DR,6037269906
174,4314014002,10325 W TABOR ST,6037269907
175,4254024024,3355 S OVERLAND AVE,6037271701
176,4332018035,1123 S SHENANDOAH ST,6037216401
177,4332022040,1226 S BEDFORD ST,6037216401
178,4332019021,1101 S BEDFORD DR,6037269000
179,4306003009,9421 W ALCOTT ST,6037269100
180,4303019024,1482 S SHERBOURNE DR,6037217002
181,4306002008,1415 S REEVES ST,6037269100
182,5068018013,1556 S HI POINT ST,6037216700
183,5087016030,1265 S STEARNS DR,6037216800
184,4332017014,1021 S SHENANDOAH ST,6037216401
185,4332025027,1051 S CORNING ST,6037216401
186,5084003006,838 S LA BREA AVE,6037216200
187,5019026009,4050 S FIGUEROA ST,6037231720
188,5020017007,"1130 W MARTIN LUTHER KING, JR BLVD",6037231600
189,5020025014,4318 S KANSAS AVE,6037231600
190,5037007022,1249 W 39TH PL,6037231210
191,5534019029,5820 W LA MIRADA AVE,6037190902
192,5532017020,6933 W SANTA MONICA BLVD,6037191901
193,5533018001,901 N VINE ST,6037191810
194,5532020013,1119 N MCCADDEN PL,6037191901
195,5536004003,5608 W LA MIRADA AVE,6037190901
196,5536004012,5639 W LEXINGTON AVE,6037190901
197,5533021029,900 N WILCOX AVE,6037191810
198,5533035019,718 N HUDSON AVE,6037191820
199,5442010027,1901 W BLAKE AVE,6037187200
200,5682018046,2451 W COLORADO BLVD,6037181000
201,5473024021,3815 W AVENUE 43,6037186202
202,5493004005,6417 N FIGUEROA ST,6037183220
